xtime,event
194,mc_att_ctrl
60,wq:sensors
117,flight_mode_manager
32,ekf2
173,mc_att_ctrl
43,commander
17,mc_rate_ctrl
636,wq:sensors
23,mc_hte_ctrl
112,mc_att_ctrl
31,ekf2
114,flight_mode_manager
16,commander
67,wq:sensors
75,mc_rate_ctrl
160,mc_att_ctrl
50,commander
31,ekf2
199,mc_att_ctrl
438,wq:sensors
31,ekf2
22,mc_hte_ctrl
209,mc_att_ctrl
70,wq:sensors
75,mc_rate_ctrl
123,flight_mode_manager
173,mc_att_ctrl
41,commander
32,ekf2
423,wq:sensors
76,mc_rate_ctrl
112,mc_att_ctrl
116,flight_mode_manager
22,mc_hte_ctrl
15,commander
67,wq:sensors
33,ekf2
161,mc_att_ctrl
17,mc_rate_ctrl
44,commander
193,mc_att_ctrl
68,wq:sensors
16,flight_mode_manager
16,mc_pos_ctrl
29,ekf2
12,mc_hte_ctrl
173,mc_att_ctrl
43,commander
17,mc_rate_ctrl
573,wq:sensors
112,mc_att_ctrl
29,ekf2
115,flight_mode_manager
16,commander
74,wq:sensors
74,mc_rate_ctrl
21,mc_hte_ctrl
160,mc_att_ctrl
50,commander
32,ekf2
194,mc_att_ctrl
636,wq:sensors
128,flight_mode_manager
76,mc_rate_ctrl
93,wq:sensors
174,mc_att_ctrl
43,commander
21,mc_hte_ctrl
67,wq:sensors
32,ekf2
112,mc_att_ctrl
16,mc_rate_ctrl
16,flight_mode_manager
19,commander
452,wq:sensors
182,mc_att_ctrl
31,ekf2
22,mc_hte_ctrl
53,commander
73,mc_rate_ctrl
116,mc_att_ctrl
61,wq:sensors
123,flight_mode_manager
33,ekf2
110,mc_att_ctrl
15,commander
167,mc_att_ctrl
16,flight_mode_manager
28,wq:sensors
356,wq:sensors
43,commander
16,mc_rate_ctrl
16,mc_hte_ctrl
61,wq:sensors
167,mc_att_ctrl
34,ekf2
44,commander
122,mc_att_ctrl
602,wq:sensors
74,mc_rate_ctrl
125,flight_mode_manager
26,mc_hte_ctrl
197,mc_att_ctrl
46,commander
30,ekf2
62,wq:sensors
17,mc_rate_ctrl
226,mc_att_ctrl
167,mc_att_ctrl
16,flight_mode_manager
88,wq:sensors
44,commander
69,wq:sensors
30,ekf2
178,mc_att_ctrl
13,mc_hte_ctrl
340,wq:sensors
47,navigator
17,mc_rate_ctrl
43,commander
40,navigator
183,mc_att_ctrl
669,wq:sensors
99,navigator
35,ekf2
197,flight_mode_manager
103,mc_att_ctrl
43,commander
76,mc_rate_ctrl
60,wq:sensors
21,mc_hte_ctrl
165,mc_att_ctrl
31,ekf2
16,flight_mode_manager
44,commander
64,wq:sensors
16,mc_rate_ctrl
182,mc_att_ctrl
56,commander
31,ekf2
12,mc_hte_ctrl
103,mc_att_ctrl
457,wq:sensors
175,flight_mode_manager
77,mc_rate_ctrl
171,mc_att_ctrl
43,commander
78,wq:sensors
31,ekf2
165,mc_att_ctrl
17,mc_rate_ctrl
16,flight_mode_manager
21,mc_hte_ctrl
43,commander
646,wq:sensors
160,mc_att_ctrl
31,ekf2
43,commander
71,mc_rate_ctrl
184,mc_att_ctrl
68,wq:sensors
170,flight_mode_manager
21,mc_hte_ctrl
31,ekf2
98,mc_att_ctrl
43,commander
449,wq:sensors
72,mc_rate_ctrl
172,mc_att_ctrl
162,flight_mode_manager
42,commander
32,ekf2
60,wq:sensors
22,mc_hte_ctrl
167,mc_att_ctrl
16,mc_rate_ctrl
44,commander
222,mc_att_ctrl
70,wq:sensors
30,ekf2
16,flight_mode_manager
17,mc_rate_ctrl
99,mc_att_ctrl
42,commander
13,mc_hte_ctrl
440,wq:sensors
35,ekf2
160,mc_att_ctrl
162,flight_mode_manager
50,commander
72,mc_rate_ctrl
60,wq:sensors
165,mc_att_ctrl
33,ekf2
21,mc_hte_ctrl
48,commander
200,mc_att_ctrl
656,wq:sensors
82,mc_rate_ctrl
169,flight_mode_manager
46,navigator
113,mc_att_ctrl
42,commander
33,ekf2
61,wq:sensors
16,mc_pos_ctrl
17,mc_rate_ctrl
21,mc_hte_ctrl
179,mc_att_ctrl
16,flight_mode_manager
112,mc_pos_ctrl
46,commander
489,wq:sensors
33,ekf2
163,mc_att_ctrl
74,mc_rate_ctrl
44,commander
115,mc_att_ctrl
60,wq:sensors
165,flight_mode_manager
23,mc_hte_ctrl
32,ekf2
199,mc_att_ctrl
43,commander
16,mc_rate_ctrl
592,wq:sensors
178,mc_att_ctrl
30,ekf2
162,flight_mode_manager
50,commander
21,mc_hte_ctrl
92,wq:sensors
86,mc_rate_ctrl
160,mc_att_ctrl
49,commander
32,ekf2
179,mc_att_ctrl
653,wq:sensors
158,navigator
71,mc_rate_ctrl
30,flight_mode_manager
23,mc_hte_ctrl
99,mc_att_ctrl
43,commander
60,wq:sensors
32,ekf2
160,mc_att_ctrl
21,mc_rate_ctrl
16,flight_mode_manager
44,commander
61,wq:sensors
189,mc_att_ctrl
31,ekf2
12,mc_hte_ctrl
50,commander
16,mc_rate_ctrl
199,mc_att_ctrl
1212,wq:sensors
170,flight_mode_manager
30,ekf2
105,mc_att_ctrl
43,commander
74,wq:sensors
75,mc_rate_ctrl
22,mc_hte_ctrl
176,mc_att_ctrl
16,flight_mode_manager
52,commander
32,ekf2
664,wq:sensors
171,mc_att_ctrl
71,mc_rate_ctrl
43,commander
22,mc_hte_ctrl
200,mc_att_ctrl
69,wq:sensors
42,ekf2
170,flight_mode_manager
18,mc_rate_ctrl
103,mc_att_ctrl
42,commander
44,navigator
660,wq:sensors
30,ekf2
168,mc_att_ctrl
166,flight_mode_manager
21,mc_hte_ctrl
43,commander
72,mc_rate_ctrl
65,wq:sensors
165,mc_att_ctrl
33,ekf2
44,commander
119,mc_att_ctrl
60,wq:sensors
17,mc_rate_ctrl
16,flight_mode_manager
13,mc_hte_ctrl
195,mc_att_ctrl
41,commander
31,ekf2
497,wq:sensors
74,mc_rate_ctrl
172,mc_att_ctrl
162,flight_mode_manager
46,commander
74,wq:sensors
32,ekf2
22,mc_hte_ctrl
176,mc_att_ctrl
17,mc_rate_ctrl
44,commander
116,mc_att_ctrl
586,wq:sensors
