timestamp,xtime,event
15101432,194,80
15101629,60,82
15101692,117,86
15102433,32,83
15104433,173,80
15104609,43,81
15104655,17,84
15105433,636,82
15106433,23,85
15107432,112,80
15107546,31,83
15107579,114,86
15108432,16,81
15109433,67,82
15109504,75,84
15110432,160,80
15112433,50,81
15112487,31,83
15113434,199,80
15113636,438,82
15132457,31,83
15148486,22,85
15149434,209,80
15149646,70,82
15149720,75,84
15149799,123,86
15152434,173,80
15152610,41,81
15152655,32,83
15153432,423,82
15154433,76,84
15155433,112,80
15155548,116,86
15155667,22,85
15156432,15,81
15157433,67,82
15157503,33,83
15158432,161,80
15159432,17,84
15160433,44,81
15161434,193,80
15161629,68,82
15161701,16,86
15162432,16,37
15162451,29,83
15162482,12,85
15164434,173,80
15164610,43,81
15164656,17,84
15165433,573,82
15167433,112,80
15167548,29,83
15167579,115,86
15168432,16,81
15169434,74,82
15169512,74,84
15169590,21,85
15170433,160,80
15172433,50,81
15172487,32,83
15173445,194,80
15173641,636,82
15174280,128,86
15174434,76,84
15174953,93,72
15176434,174,80
15176610,43,81
15176657,21,85
15177432,67,82
15177503,32,83
15179433,112,80
15179548,16,84
15179568,16,86
15180433,19,81
15181433,452,82
15182433,182,80
15182617,31,83
15183435,22,85
15184435,53,81
15184492,73,84
15185435,116,80
15185553,61,82
15185617,123,86
15187435,33,83
15188435,110,80
15188547,15,81
15623449,167,80
15623618,16,86
15623716,28,72
15623778,356,72
15624466,43,81
15624513,16,84
15624533,16,85
15625454,61,82
15626459,167,80
15627458,34,83
15628455,44,81
15629466,122,80
15629591,602,82
15630197,74,84
15630275,125,86
15631458,26,85
15632459,197,80
15632658,46,81
15632708,30,83
15633459,62,82
15634459,17,84
15635207,226,40
15635440,167,80
15635609,16,86
15635629,88,72
15636466,44,81
15637461,69,82
15637533,30,83
15638456,178,80
15638636,13,85
15638969,340,72
15639342,47,88
15639439,17,84
15640466,43,81
15641259,40,88
15641471,183,80
15641657,669,82
15642330,99,38
15642435,35,83
15642472,197,86
15644479,103,80
15644584,43,81
15644631,76,84
15645459,60,82
15645523,21,85
15647479,165,80
15647647,31,83
15647680,16,86
15648449,44,81
15649462,64,82
15649530,16,84
15650466,182,80
15652461,56,81
15652520,31,83
15652553,12,85
15653468,103,80
15653573,457,82
15654034,175,86
15654460,77,84
15656459,171,80
15656633,43,81
15657439,78,82
15657520,31,83
15659474,165,80
15659641,17,84
15659662,16,86
15659682,21,85
15660467,43,81
15661449,646,82
15662469,160,80
15662631,31,83
15664462,43,81
15664508,71,84
15665467,184,80
15665653,68,82
15665725,170,86
15666454,21,85
15667466,31,83
15668460,98,80
15668561,43,81
15669450,449,82
15669903,72,84
15671449,172,80
15671624,162,86
15672473,42,81
15672519,32,83
15673473,60,82
15673536,22,85
15674449,167,80
15674619,16,84
15676453,44,81
15677412,222,80
15677636,70,82
15677710,30,83
15677742,16,86
15679466,17,84
15680479,99,80
15680581,42,81
15680627,13,85
15681426,440,82
15682464,35,83
15683473,160,80
15683636,162,86
15684449,50,81
15684503,72,84
15685451,60,82
15686466,165,80
15687460,33,83
15687495,21,85
15688449,48,81
15689457,200,80
15689660,656,82
15690320,82,84
15690406,169,86
15691261,46,88
15692458,113,80
15692573,42,81
15692618,33,83
15693458,61,82
15694459,16,37
15694478,17,84
15694499,21,85
15695459,179,80
15695640,16,86
15695660,112,87
15696458,46,81
15697460,489,82
15697952,33,83
15698462,163,80
15699459,74,84
15700458,44,81
15701434,115,80
15701552,60,82
15701615,165,86
15701784,23,85
15702459,32,83
15704459,199,80
15704660,43,81
15704707,16,84
15705453,592,82
15707459,178,80
15707640,30,83
15707672,162,86
15708454,50,81
15708508,21,85
15709460,92,82
15709556,86,84
15710466,160,80
15712451,49,81
15712504,32,83
15713432,179,80
15713614,653,82
15714271,158,38
15714435,71,84
15714510,30,86
15715449,23,85
15716472,99,80
15716573,43,81
15717472,60,82
15717536,32,83
15719483,160,80
15719645,21,84
15719670,16,86
15720449,44,81
15721465,61,82
15722449,189,80
15722640,31,83
15722673,12,85
15724452,50,81
15724506,16,84
15725445,199,80
15725646,1212,82
15726862,170,86
15727448,30,83
15728459,105,80
15728567,43,81
15729453,74,82
15729531,75,84
15729610,22,85
15731464,176,80
15731643,16,86
15732458,52,81
15732514,32,83
15733458,664,82
15734464,171,80
15734637,71,84
15736473,43,81
15736519,22,85
15737449,200,80
15737651,69,82
15737723,42,83
15737767,170,86
15739449,18,84
15740472,103,80
15740578,42,81
15741258,44,88
15741453,660,82
15742454,30,83
15743467,168,80
15743638,166,86
15743808,21,85
15744476,43,81
15744523,72,84
15745449,65,82
15746466,165,80
15747466,33,83
15748451,44,81
15749450,119,80
15749572,60,82
15749635,17,84
15749656,16,86
15750466,13,85
15752479,195,80
15752677,41,81
15752722,31,83
15753448,497,82
15754434,74,84
15755449,172,80
15755624,162,86
15756458,46,81
15757462,74,82
15757539,32,83
15757573,22,85
15758450,176,80
15759459,17,84
15760461,44,81
15761450,116,80
15761569,586,82
15762159,166,86
15762441,30,83
15764472,179,80
15764653,43,81
15764700,72,84
15764776,21,85
15765453,68,82
15767480,160,80
15767643,30,83
15767675,16,86
15768449,44,81
15769450,67,82
15769521,16,84
15770466,165,80
15771452,14,85
15772461,42,81
15772506,30,83
15773466,112,80
15773581,648,82
15774232,175,86
15774438,73,84
15776472,181,80
15776655,43,81
15777445,67,82
15777516,37,83
15778448,29,85
15779449,173,80
15779625,16,84
15779645,16,86
15780449,44,81
15781466,60,82
15782472,165,80
15782640,29,83
15784461,43,81
15784508,16,84
15785486,99,80
15785588,488,82
15786080,162,86
15786246,21,85
15787466,31,83
15788472,185,80
15788659,43,81
15789450,76,82
15789529,73,84
15791258,42,88
15791473,160,80
15791636,16,86
15792479,42,81
15792525,30,83
15792557,13,85
15793449,61,82
15794473,160,80
15794636,16,84
15795467,90,87
15796454,43,81
15797436,118,80
15797557,437,82
15797997,30,83
15798029,162,86
15799435,15,37
15799454,72,84
15799530,21,85
15800435,105,80
15800542,15,81
15801435,60,82
15802439,31,83
15803440,210,80
15803651,14,86
15804443,48,81
15804492,14,84
15805445,68,82
15806443,168,80
15806612,19,85
15807442,29,83
15808439,41,81
15809473,178,80
15809652,665,82
15810318,102,84
15810421,301,86
15812440,152,80
15812593,54,81
15812648,31,83
15813449,58,82
15813508,19,85
15814442,14,84
15815458,158,80
15815618,13,86
15816451,40,81
15817439,65,82
15817505,29,83
15818442,158,80
15819442,15,84
15820445,48,81
15820494,10,85
15821444,192,80
15821637,57,82
15821696,13,86
15822445,31,83
15824447,110,80
15824558,40,81
15824599,14,84
15825444,459,82
15827439,178,80
15827618,31,83
15827650,154,86
15827805,20,85
15828442,43,81
15829439,81,82
15829521,72,84
15830452,158,80
15832440,47,81
15832489,31,83
15833440,111,80
15833552,657,82
15834210,153,86
15834452,72,84
15834525,19,85
15836439,184,80
15836624,41,81
15837434,81,82
15837516,32,83
15839456,159,80
15839616,14,84
15839631,13,86
15840439,42,81
15841254,178,40
15841436,488,82
15841925,19,85
15841946,56,72
15842439,166,80
15842606,28,83
15843080,80,88
15844439,48,81
15844488,69,84
15845440,111,80
15845552,104,82
15845657,153,86
15847439,32,83
15848466,179,80
15848647,41,81
15848689,10,85
15849435,586,82
15850022,71,84
15851448,172,80
15851621,153,86
15852439,43,81
15852483,32,83
15853440,60,82
15854458,158,80
15854618,13,84
15855452,19,85
15856438,43,81
15857440,117,80
15857558,644,82
15858203,29,83
15858233,164,86
15859452,71,84
15860458,177,80
15860636,41,81
15861440,66,82
15862439,13,37
15862453,30,83
15862484,19,85
15863458,158,80
15863617,14,86
15864445,49,81
15864495,14,84
15865443,57,82
15866439,158,80
15867445,31,83
15868438,43,81
15869453,214,80
15869668,448,82
15870117,69,84
15870187,153,86
15870341,19,85
15872440,110,80
15872551,40,81
15872592,30,83
15873450,68,82
15874452,13,84
15875439,165,80
15875605,13,86
15876439,48,81
15876489,10,85
15877440,64,82
15877505,28,83
15878451,158,80
15879439,15,84
15880439,42,81
15881457,97,80
15881555,435,82
15881991,153,86
15882445,28,83
15883442,19,85
15884464,177,80
15884642,42,81
15884685,71,84
15885440,66,82
15887440,171,80
15887612,31,83
15887644,13,86
15888451,42,81
15889440,650,82
15890091,69,84
15890440,170,80
15890611,19,85
15891254,88,88
15892450,41,81
15892492,31,83
15893440,192,80
15893633,57,82
15893691,153,86
15894452,14,84
15895452,247,87
15896439,107,80
15896547,41,81
15897449,462,82
15897913,28,83
15897942,19,85
15899457,161,80
15899619,71,84
15899691,161,86
15900455,41,81
15901440,63,82
15902439,164,80
15902604,30,83
15904445,55,81
15904501,18,84
15904520,10,85
15905406,210,80
15905617,66,82
15905684,13,86
15907446,32,83
15908443,107,80
15908551,42,81
15909443,807,82
15910251,71,84
15911445,171,80
15911617,153,86
15911771,19,85
15912446,47,81
15912494,31,83
15913445,58,82
15914447,164,80
15914612,14,84
15916439,42,81
15917441,120,80
15917562,644,82
15918207,29,83
15918237,164,86
15918432,20,85
15919444,71,84
15920458,187,80
15920646,41,81
15921448,75,82
15922439,32,83
15923459,157,80
15923617,14,86
15924439,48,81
15924488,14,84
15925437,450,82
15925888,19,85
15926452,157,80
15927439,30,83
15928438,42,81
15929440,116,80
15929557,58,82
15929616,69,84
15929686,153,86
15932440,210,80
15932651,40,81
15932692,32,83
15932725,10,85
15933445,505,82
15934443,72,84
15935442,165,80
15935608,154,86
15936442,42,81
15937439,79,82
15937519,31,83
15938438,159,80
15939459,14,84
15939474,19,85
15940439,42,81
15941254,89,88
15941441,127,80
15941569,641,82
15942211,154,86
15942439,30,83
15944466,178,80
15944645,41,81
15944687,71,84
15945450,60,82
15946439,20,85
15947440,171,80
15947612,30,83
15947643,14,86
15948442,41,81
15949458,58,82
15949517,14,84
